,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
,BTC-USD,ETH-USD,BTC-USD,ETH-USD,BTC-USD,ETH-USD,BTC-USD,ETH-USD,BTC-USD,ETH-USD,BTC-USD,ETH-USD
Datetime,,,,,,,,,,,,
2023-05-06 17:35:00+00:00,28798.92578125,1885.8309326171875,28798.92578125,1885.8309326171875,28826.005859375,1887.1767578125,28798.92578125,1885.1905517578125,28826.005859375,1887.1767578125,36808704,6320128
2023-05-06 17:40:00+00:00,28802.337890625,1885.990478515625,28802.337890625,1885.990478515625,28832.80078125,1887.2930908203125,28792.552734375,1884.44775390625,28806.1328125,1886.1090087890625,0,0
2023-05-06 17:45:00+00:00,28805.416015625,1887.006103515625,28805.416015625,1887.006103515625,28817.35546875,1887.2359619140625,28801.5859375,1886.07666015625,28801.5859375,1886.07666015625,0,0
2023-05-06 17:50:00+00:00,28814.169921875,1885.40869140625,28814.169921875,1885.40869140625,28814.169921875,1886.4461669921875,28796.8046875,1885.40869140625,28802.580078125,1886.4461669921875,0,0
2023-05-06 17:55:00+00:00,28837.505859375,1886.2620849609375,28837.505859375,1886.2620849609375,28837.505859375,1886.2620849609375,28824.576171875,1885.5924072265625,28825.654296875,1886.1046142578125,0,0
2023-05-06 18:00:00+00:00,28835.240234375,1886.42919921875,28835.240234375,1886.42919921875,28835.240234375,1886.42919921875,28824.634765625,1885.7120361328125,28828.71875,1885.8603515625,0,0
2023-05-06 18:05:00+00:00,28844.861328125,1886.3050537109375,28844.861328125,1886.3050537109375,28844.861328125,1886.4195556640625,28837.765625,1885.891845703125,28837.765625,1886.280029296875,0,0
2023-05-06 18:10:00+00:00,28910.15234375,1890.583740234375,28910.15234375,1890.583740234375,28910.15234375,1890.583740234375,28864.6640625,1887.4085693359375,28864.6640625,1887.4085693359375,9766912,0
2023-05-06 18:15:00+00:00,28933.30078125,1891.8355712890625,28933.30078125,1891.8355712890625,28957.0859375,1892.2408447265625,28890.76953125,1889.10595703125,28902.978515625,1890.6268310546875,58882048,18787328
2023-05-06 18:20:00+00:00,28930.20703125,1892.0328369140625,28930.20703125,1892.0328369140625,28930.20703125,1892.0328369140625,28907.259765625,1890.6953125,28928.71875,1891.8441162109375,34591744,0
