Time,Bid,Ask,Last,Volume,Type
2023.04.24 13:49:33.934,43.94,43.95,43.94,100.00,Sell
2023.04.24 13:49:33.934,43.94,43.95,43.94,100.00,Sell
2023.04.24 13:49:33.934,43.94,43.95,43.92,100.00,Sell
2023.04.24 13:49:33.934,43.94,43.95,43.94,100.00,Sell
2023.04.24 13:49:33.934,43.94,43.95,43.94,100.00,Sell
2023.04.24 13:49:33.934,43.94,43.95,43.94,100.00,Sell
2023.04.24 13:49:33.934,43.94,43.95,43.94,102.00,Sell
2023.04.24 13:49:33.934,43.94,43.95,43.94,121.00,Sell
2023.04.24 13:49:33.934,43.94,43.95,43.92,100.00,Sell
2023.04.24 13:49:33.934,43.94,43.95,43.94,100.00,Sell
2023.04.24 13:49:33.934,43.94,43.95,43.94,364.00,Sell
2023.04.24 13:49:33.934,43.94,43.95,43.93,300.00,Sell
2023.04.24 13:49:34.397,43.95,43.96,43.94,100.00,Sell
2023.04.24 13:49:34.803,43.95,43.96,43.95,100.00,Sell
2023.04.24 13:49:35.963,43.95,43.96,43.94,100.00,Sell
2023.04.24 13:49:37.243,43.95,43.96,43.95,100.00,Sell
2023.04.24 13:49:37.243,43.95,43.96,43.95,100.00,Sell
2023.04.24 13:49:50.556,43.95,43.96,43.96,100.00,Buy
2023.04.24 13:49:51.836,43.95,43.96,43.95,100.00,Sell
2023.04.24 13:49:51.836,43.95,43.96,43.95,198.00,Sell
2023.04.24 13:49:51.836,43.95,43.96,43.95,100.00,Sell
2023.04.24 13:49:51.836,43.95,43.96,43.95,100.00,Sell
2023.04.24 13:49:51.836,43.95,43.96,43.95,100.00,Sell
2023.04.24 13:49:51.836,43.95,43.96,43.95,100.00,Sell
2023.04.24 13:49:51.836,43.95,43.96,43.95,100.00,Sell
2023.04.24 13:49:51.836,43.95,43.96,43.95,100.00,Sell
2023.04.24 13:49:51.836,43.95,43.96,43.95,100.00,Sell
2023.04.24 13:49:51.836,43.95,43.96,43.95,200.00,Sell
2023.04.24 13:49:51.836,43.95,43.96,43.95,100.00,Sell
2023.04.24 13:49:51.836,43.95,43.96,43.95,100.00,Sell
2023.04.24 13:49:51.836,43.95,43.96,43.95,100.00,Sell
2023.04.24 13:49:51.836,43.95,43.96,43.95,100.00,Sell
2023.04.24 13:49:51.836,43.95,43.96,43.95,100.00,Sell
