,Capital Gains,Close,Close,Close,Dividends,Dividends,Dividends,High,High,High,Low,Low,Low,Open,Open,Open,Stock Splits,Stock Splits,Stock Splits,Volume,Volume,Volume
,SPY,AAPL,MCD,SPY,AAPL,MCD,SPY,AAPL,MCD,SPY,AAPL,MCD,SPY,AAPL,MCD,SPY,AAPL,MCD,SPY,AAPL,MCD,SPY
Date,,,,,,,,,,,,,,,,,,,,,,
2021-05-12,0.0,121.184326171875,215.7275390625,390.6437072753906,0.0,0.0,0.0,123.0301763712763,221.05590216362444,397.56218223096926,120.67104569191503,215.37736737152392,389.28506034299437,121.8061940491756,219.67411901005858,396.2517317862945,0.0,0.0,0.0,112172300,3198200,134811000
2021-05-13,0.0,123.35591125488281,217.45945739746094,395.3362731933594,0.0,0.0,0.0,124.52067088922846,218.69926830831417,397.33088415044824,122.65508239035731,215.67071981591343,392.19500353568486,122.97094902691606,215.78428587148522,392.2432000174579,0.0,0.0,0.0,105861300,2819200,106394000
2021-05-14,0.0,125.80387878417969,219.30496215820312,401.40679931640625,0.0,0.0,0.0,126.2381982438019,220.17566888426603,402.28365770890656,124.22454556399181,218.1219343606301,398.13064416811676,124.61938075175249,218.34908089661675,398.159550295077,0.0,0.0,0.0,81918000,1943100,82201600
2021-05-17,0.0,124.63912200927734,219.26710510253906,400.3854675292969,0.0,0.0,0.0,125.29060121380091,219.85389673138795,401.22380414305394,123.55333086592637,217.91372818502865,398.3041378725178,125.18202134638032,218.4437223468861,400.2602272319174,0.0,0.0,0.0,74244600,1630900,65129200
2021-05-18,0.0,123.23746490478516,219.5037078857422,396.935791015625,0.0,0.0,0.0,125.34982455958105,220.7529922010631,400.9057223433162,123.16836930975371,219.23871080817548,396.7719700367905,124.92537803842926,219.46585734948593,400.65518298957903,0.0,0.0,0.0,63342900,2913000,59810200
2021-05-19,0.0,123.07954406738281,217.81907653808594,395.8951416015625,0.0,0.0,0.0,123.30656923963957,218.26389615390298,396.078223542192,121.27317798671386,215.954623537642,390.56656318594275,121.56930628975505,217.8947920515503,392.09867614300634,0.0,0.0,0.0,92612000,2967000,106467100
2021-05-20,0.0,125.66568756103516,219.74032592773438,400.1541748046875,0.0,0.0,0.0,126.07039569935559,221.48175396081132,401.45500937394564,123.48423237459787,218.20712640029183,396.6756766500503,123.61255814082377,218.35855743643043,396.8009169337601,0.0,0.0,0.0,76857100,1890200,78022200
2021-05-21,0.0,123.80997467041016,218.85069274902344,399.8265380859375,0.0,0.0,0.0,126.3467808279879,220.89495389401154,402.96780769370514,123.59281493592526,217.97051252108784,399.35439488944314,126.16910536621434,219.9674641051854,401.6862341517508,0.0,0.0,0.0,79295400,2601100,76578700
2021-05-24,0.0,125.4583969116211,219.4847869873047,403.9024963378906,0.0,0.0,0.0,126.2875515331804,220.18513020838077,405.01060376610354,124.31338318671632,218.6424717642821,401.88859496781424,124.38247877760838,219.11568288825563,402.1391343433516,0.0,0.0,0.0,63092900,1823300,51376700
2021-05-25,0.0,125.260986328125,219.7024688720703,403.00634765625,0.0,0.0,0.0,126.66265161380612,220.2987195333923,405.3863835062514,124.68847568544221,218.34909193503162,402.40893475079724,126.16910198357405,219.73086038534677,405.0202196207081,0.0,0.0,0.0,72009500,2681900,57451400
