,Close,Close,Close,Dividends,Dividends,Dividends,High,High,High,Low,Low,Low,Open,Open,Open,Stock Splits,Stock Splits,Stock Splits,Volume,Volume,Volume
,AAPL,IBM,MCD,AAPL,IBM,MCD,AAPL,IBM,MCD,AAPL,IBM,MCD,AAPL,IBM,MCD,AAPL,IBM,MCD,AAPL,IBM,MCD
Date,,,,,,,,,,,,,,,,,,,,,
2021-08-09,144.419189453125,122.32777404785156,223.33303833007812,0.0,1.567878,0.0,145.02221358839248,123.41032903884009,224.65584472366677,143.8557162917343,122.08528493670327,222.71447212789482,144.52793200487085,123.15050644166432,224.3893695751559,0.0,0.0,0.0,48908700,5129689,2093100
2021-08-10,143.93478393554688,122.44036102294922,222.16253662109375,0.0,0.0,0.0,146.02065254285245,122.8127545282541,223.73276675249465,143.6382120081799,121.539683215679,221.9626983904715,144.7651732647546,122.29313696946187,223.73276675249465,0.0,0.0,0.0,69023100,5543695,2027500
2021-08-11,144.1918182373047,123.08989715576172,224.1610107421875,0.0,0.0,0.0,145.0419831294813,123.64415404376149,224.53215341355153,143.86559059544055,122.54429318840357,222.4480389816548,144.37964764482732,122.78678230472309,222.86676702545358,0.0,0.0,0.0,48493500,4455960,1969100
2021-08-12,147.18716430664062,123.90394592285156,225.22686767578125,0.0,0.0,0.0,147.3453380281874,123.97323839131742,225.31251263898832,144.17204373336426,123.0465743007626,223.68520025398263,144.5180468637133,123.20246507661697,224.58926430354333,0.0,0.0,0.0,72282600,2184780,1490800
2021-08-13,147.39476013183594,123.9992446899414,227.27288818359375,0.0,0.0,0.0,147.73086795623334,124.34566565880382,227.4441780840298,146.5742509716126,123.35837557333711,224.84617961364052,147.26624210545293,123.53158605776832,225.34102678446615,0.0,0.0,0.0,59375000,1997965,1699700
2021-08-16,149.3916473388672,124.35429382324219,229.31895446777344,0.0,0.0,0.0,149.4608539946953,124.48419820506358,229.39508816142836,144.7948350654629,123.17648764420224,227.0254759548516,146.8411527906132,124.04252607138211,227.44420400944514,0.0,0.0,0.0,103296000,2913319,2175300
2021-08-17,148.4722900390625,123.34104919433594,228.6623077392578,0.0,0.0,0.0,149.94523936083777,123.98191827606105,229.19522905908022,147.3848646273103,122.18922925405744,226.69240110912722,148.51182592481922,123.8433609541041,228.72893016474404,0.0,0.0,0.0,92229700,3215195,1652000
2021-08-18,144.68609619140625,120.78622436523438,226.5686798095703,0.0,0.0,0.0,148.9962319188811,122.90801440418139,228.16744375326184,144.47849130293457,120.71694571300053,226.28318209933488,148.08675567528422,122.69151170467241,227.86292351108966,0.0,0.0,0.0,86326000,3672192,2215500
2021-08-19,145.02223205566406,119.53047180175781,225.759765625,0.0,0.0,0.0,146.30736735332607,120.7689037244719,226.60673294461415,142.8473958280785,118.82897707462193,224.65586344240216,143.37133316658796,120.11071506590974,225.2363555913022,0.0,0.0,0.0,86960300,4351465,1455400
2021-08-20,146.49517822265625,120.47447967529297,226.95887756347656,0.0,0.0,0.0,146.80163039113324,120.70830208263119,227.8153562412211,145.10130053608975,118.8809736109058,224.89380004494404,145.75375584694345,119.28800650455021,225.5028550987001,0.0,0.0,0.0,60549600,2780059,1989700
2021-08-23,147.997802734375,120.9161148071289,228.07228088378906,0.0,0.0,0.0,148.47230884493473,121.37512038164304,228.46246059237254,146.19861047690853,120.20596723594697,226.4830282523817,146.61380520918294,120.9161148071289,227.8819539228511,0.0,0.0,0.0,60131800,3179422,2086900
2021-08-24,147.9088134765625,121.10665893554688,226.90174865722656,0.0,0.0,0.0,149.13463721124893,121.44441309921636,228.76698778157245,147.44418758994695,120.65632005065424,226.79708116839203,147.7407595514023,121.0546999463415,228.76698778157245,0.0,0.0,0.0,48606400,2474418,1687700
2021-08-25,146.66322326660156,121.12398529052734,227.2824249267578,0.0,0.0,0.0,148.60081359483917,121.93806478994695,228.01519902091323,146.1096303397554,120.77757818746333,226.34028680570086,148.09663675595888,121.17594428260338,226.42593176551952,0.0,0.0,0.0,58991300,2105389,1668000
2021-08-26,145.85260009765625,120.18865203857422,225.49330139160156,0.0,0.0,0.0,147.4145316803117,121.93804845118518,227.36805169640476,145.82294440998302,120.12802631133036,224.51310376271658,146.65334891766327,121.21923411149912,227.24433263921978,0.0,0.0,0.0,48597200,2613640,2008000
2021-08-27,146.90049743652344,120.73426818847656,225.9976806640625,0.0,0.0,0.0,147.04877588269423,120.89015898219043,226.84464799382337,145.15073635032164,119.85957680470165,224.94134931831428,145.7932963960981,120.12803849963964,225.95009529297147,0.0,0.0,0.0,55802400,2572637,1784000
2021-08-30,151.36878967285156,120.35321807861328,225.1507110595703,0.0,0.0,0.0,151.7345683076739,121.14131121142081,226.264139030972,146.91037515025118,120.22331368043518,224.45601111591276,147.29591418804344,120.812223755385,225.8644480556752,0.0,0.0,0.0,90956700,2087293,2245600
2021-08-31,150.09353637695312,121.5396728515625,227.2175750732422,0.0,0.0,1.29,151.052443784906,122.0592903660451,227.47591857214076,149.55970385898158,120.33588029679616,224.5479087796054,150.91404555511258,120.84684489140045,225.5813265770815,0.0,0.0,0.0,86453100,4429915,2938100
2021-09-01,150.7657470703125,120.63899993896484,227.87777709960938,0.0,0.0,0.0,153.2074990388184,121.3058553435679,228.72938779761867,150.59769315998025,120.54373488116441,226.9783347516493,151.08209449042633,121.22790994877151,227.61943362762253,0.0,0.0,0.0,80313700,2588327,2197100
