,Close,Close,Dividends,Dividends,High,High,Low,Low,Open,Open,Stock Splits,Stock Splits,Volume,Volume
,AAPL,IBM,AAPL,IBM,AAPL,IBM,AAPL,IBM,AAPL,IBM,AAPL,IBM,AAPL,IBM
Date,,,,,,,,,,,,,,
2021-03-30,118.15071868896484,114.07007598876953,0.0,0.0,118.643423931606,115.38249724677043,117.12589088210102,113.47736874230247,118.35765398870389,115.03534362035687,0.0,0.0,85671900,5010758
2021-03-31,120.36788940429688,112.8338623046875,0.0,0.0,121.7178969252965,114.0616100689164,119.38247894256394,112.3681618478244,119.87518417343041,113.9176564628077,0.0,0.0,118323800,5172575
2021-04-01,121.20549011230469,112.80846405029297,0.0,0.0,122.36827478971526,113.40116455308966,120.70292865799465,111.99561668115513,121.85586464353952,113.2572312074809,0.0,0.0,75089100,4261404
2021-04-05,124.06317138671875,115.09459686279297,0.0,0.0,124.31938019686277,115.73810407514272,121.27445813862006,112.95240180097875,122.06278946917787,113.15561531615407,0.0,0.0,88651200,5722980
2021-04-06,124.36865234375,113.64671325683594,0.0,0.0,125.27522815597123,114.84906105936848,123.81682489597797,113.53663982843247,124.6544222772277,114.79824754300299,0.0,0.0,80171300,3787566
2021-04-07,126.03401184082031,114.24788665771484,0.0,0.0,126.05371674401765,114.2563600823175,123.31427659634514,113.27416583991904,123.9942122869854,113.3249658448335,0.0,0.0,83466700,3112896
2021-04-08,128.4580841064453,114.40877532958984,0.0,0.0,128.4876452118148,114.84059564919899,126.6449328083351,113.59592118181499,127.0686520094094,113.94307482529507,0.0,0.0,88844600,4275211
2021-04-09,131.05958557128906,114.9252700805664,0.0,0.0,131.09899537208756,114.93372999063835,127.58108799924541,114.0616159703925,127.90627524146943,114.19708264541062,0.0,0.0,106686700,3162999
2021-04-12,129.3252716064453,113.96001434326172,0.0,0.0,130.9117830168788,114.62045499560158,128.72417063637621,113.33344036321087,130.58659576721814,114.32410134172065,0.0,0.0,91420000,3926684
2021-04-13,132.46873474121094,111.07270050048828,0.0,0.0,132.69538999670107,113.13870269733002,130.00520833418548,110.39532649729419,130.5077773443687,112.61373547986346,0.0,0.0,91266500,8403041
2021-04-14,130.10374450683594,112.30043029785156,0.0,0.0,133.03041483612432,112.42743705824414,129.73914744071155,110.5138487141212,132.97129261309559,111.18275594074079,0.0,0.0,87222800,6137928
2021-04-15,132.53770446777344,112.25809478759766,0.0,0.0,133.03040968884324,113.35036918862926,131.6902508860866,111.95328125306251,131.86763258448016,112.85080203644013,0.0,0.0,89347100,4062664
2021-04-16,132.20265197753906,113.11328125,0.0,0.0,132.7052058271014,113.54511506058452,131.3354860854301,112.57138076637591,132.34060882072293,112.613720859277,0.0,0.0,84922400,5535223
2021-04-19,132.87274169921875,112.71532440185547,0.0,0.0,133.49355509536736,113.30802487148668,131.39462602166128,112.25809060286403,131.5621439941107,113.12174468512411,0.0,0.0,94264200,8575736
2021-04-20,131.16796875,116.9828109741211,0.0,0.0,133.55265992830198,118.34601886405672,129.88693232233874,115.7465963483393,133.05010607638556,116.05988333882712,0.0,0.0,94812300,16192708
2021-04-21,131.55227661132812,121.5466079711914,0.0,0.0,131.79862918925198,121.69902149321773,129.384376932832,116.60176355765088,130.42890945744216,116.89811717748732,0.0,0.0,68847100,12456814
2021-04-22,130.0150604248047,119.62455749511719,0.0,0.0,132.1928091534201,122.55419994338745,129.49279407615916,119.38747730640222,131.0990029251648,121.67361252409391,0.0,0.0,84566500,7428064
2021-04-23,132.36033630371094,120.59829711914062,0.0,0.0,133.14865261954185,121.5974179760129,130.23184616415975,119.34514919991793,130.23184616415975,119.64996275481037,0.0,0.0,78657500,4765576
2021-04-26,132.75450134277344,119.87010955810547,0.0,0.0,133.0895372979847,121.61436475113106,131.6114215749308,119.7939163051049,132.86289709724423,120.58982362014851,0.0,0.0,66905100,4927497
2021-04-27,132.42929077148438,120.24267578125,0.0,0.0,133.43441349638476,120.70837631784241,132.15337708796943,119.17580801686371,133.0402403512434,119.97172888461212,0.0,0.0,66015800,4062664
2021-04-28,131.63111877441406,121.08092498779297,0.0,0.0,133.0501121102573,121.4196051971391,131.13841359036675,120.31887086685526,132.3504641329958,121.01317813453682,0.0,0.0,107760100,3941433
2021-04-29,131.53257751464844,122.13084411621094,0.0,0.0,135.07021231936199,125.94108763991446,130.51760599371434,121.0639764701433,134.47896005800425,122.03770401922196,0.0,0.0,151101000,4554179
2021-04-30,129.54205322265625,120.13258361816406,0.0,0.0,131.61140596783576,121.78368501666517,129.15774378168229,119.00644259473783,129.85737672070647,121.67361159009843,0.0,0.0,109839500,9280321
2021-05-03,130.60629272460938,122.56268310546875,0.0,0.0,132.11398452673293,123.40940392425397,129.90665973448455,121.54661542007968,130.11358750603188,121.76676229239447,0.0,0.0,75135100,5997241
2021-05-04,125.9847183227539,123.409423828125,0.0,0.0,129.571619100698,124.12066456549154,124.85149485746057,122.20707574697651,129.27599297302677,122.27482261308491,0.0,0.0,137564700,6642623
2021-05-05,126.23108673095703,122.96063232421875,0.0,0.0,128.5467923047563,123.57027291348486,126.10297855878028,122.74895888426674,127.31502922204272,123.57027291348486,0.0,0.0,84000900,5229895
2021-05-06,127.84713745117188,125.67017364501953,0.0,0.0,127.85698614112955,125.7463804274198,125.27520845435144,122.92679704979545,126.0241223857522,122.99453040560145,0.0,0.0,78128300,7848661
