,Capital Gains,Close,Close,Dividends,Dividends,High,High,Low,Low,Open,Open,Stock Splits,Stock Splits,Volume,Volume
,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY
Date,,,,,,,,,,,,,,,
2021-08-13,0.0,147.394775390625,431.0838928222656,0.0,0.0,147.73088324981737,431.1032167852363,146.57426614545986,430.2621671113931,147.2662573509374,430.7648556687319,0.0,0.0,59375000,39470300
2021-08-16,0.0,149.3916473388672,432.0989685058594,0.0,0.0,149.4608539946953,432.2342952579598,144.7948350654629,428.1353727312918,146.8411527906132,429.74014680596,0.0,0.0,103296000,73740000
2021-08-17,0.0,148.4722900390625,429.26641845703125,0.0,0.0,149.94523936083777,430.15579275052914,147.3848646273103,426.1825501196287,148.51182592481922,429.45974658498494,0.0,0.0,92229700,92673900
2021-08-18,0.0,144.6860809326172,424.56817626953125,0.0,0.0,148.99621620553935,429.8368628717786,144.47847606603978,424.3168467075021,148.08674005785704,428.2224119241411,0.0,0.0,86326000,89351900
2021-08-19,0.0,145.02220153808594,425.2254638671875,0.0,0.0,146.30733656531203,426.46290548418807,142.8473657681594,421.609906336989,143.37130299641476,421.75490980703375,0.0,0.0,86960300,92812200
2021-08-20,0.0,146.49517822265625,428.6090393066406,0.0,0.0,146.80163039113324,428.947400423421,145.10130053608975,425.0804836653218,145.75375584694345,425.5832017253042,0.0,0.0,60549600,72008700
2021-08-23,0.0,147.99778747558594,432.37933349609375,0.0,0.0,148.4722935372234,433.3170620480334,146.1985954036188,428.68642068311635,146.61379009308604,430.3491961720535,0.0,0.0,60131800,54973000
2021-08-24,0.0,147.90879821777344,433.065673828125,0.0,0.0,149.13462182599963,433.61671654365756,147.44417237909033,432.533984577706,147.7407443099503,433.06567382812506,0.0,0.0,48606400,38744700
2021-08-25,0.0,146.6632080078125,433.97442626953125,0.0,0.0,148.6007981344639,434.5061155501482,146.1096151385619,432.87234077587203,148.09662134803798,433.25905607330446,0.0,0.0,58991300,40529700
2021-08-26,0.0,145.85260009765625,431.4125671386719,0.0,0.0,147.4145316803117,433.92603936894466,145.82294440998302,431.31588832160764,146.65334891766327,433.68435707740053,0.0,0.0,48597200,57829600
2021-08-27,0.0,146.9004669189453,435.2698059082031,0.0,0.0,147.04874533431226,435.6564916731941,145.15070619624444,432.1859375161596,145.79326610853346,432.2439389057966,0.0,0.0,55802400,77235100
2021-08-30,0.0,151.3687744140625,437.1839599609375,0.0,0.0,151.73455301201238,437.99600895465807,146.91036034089433,435.7145126846709,147.29589933982217,435.9658717192395,0.0,0.0,90956700,48357400
2021-08-31,0.0,150.09353637695312,436.5362243652344,0.0,0.0,151.052443784906,437.43527541840075,149.55970385898158,435.9175330337402,150.91404555511258,437.087267076104,0.0,0.0,86453100,59300200
2021-09-01,0.0,150.7657470703125,436.76824951171875,0.0,0.0,153.2074990388184,438.0346624289183,150.59769315998025,436.52656720687554,151.08209449042633,437.5029731591571,0.0,0.0,80313700,48721400
2021-09-02,0.0,151.89271545410156,438.1120300292969,0.0,0.0,152.95048521972134,438.94340302106366,150.65701156956032,436.8746177726016,152.1102005445229,438.237709551828,0.0,0.0,71115500,42501000
2021-09-03,0.0,152.53529357910156,438.0056457519531,0.0,0.0,152.86152122126617,438.5373645045493,151.3391255578313,436.52655128036645,152.00146104309536,436.9422672512277,0.0,0.0,57808700,47170500
2021-09-07,0.0,154.89797973632812,436.4395751953125,0.0,0.0,155.4614529511161,437.74466557204875,152.62428121980727,435.74352896120223,153.19764972114058,437.6479867474321,0.0,0.0,82278300,51671500
